ABBR,TERM
ACL,Aguaclara,
AYI,Yari,
CFO,Confreza,
PJC,Pedro Juan Caballero,
NPR,Novo Progresso Municipal,
ECO,El Encanto,
ESG,Mariscal Estigarribia,
PCC,Puerto Rico,
PTZ,Pastaza,
SFU,Safia,
SIZ,Sissano,
SQF,Solano,
JUA,Juara,
NBB,Barrancominas,
MFB,Monfort,
MHF,Morichal,
PUU,Puerto Asis Airport,
SOH,Solita,
ACD,Acandi,
ACR,Araracuara,
ARF,Acaricuara,
BHF,Bahia Cupica,
CCO,Carimagua,
CPB,Capurgana,
CQT,Caquetania,
CSR,Casuarito,
CUO,Caruru,
ECR,El Charco,
GPI,Guapi Airport,
HRR,Herrera,
NAR,Nare,
NCI,Necocli,
ASC,Ascension,
AYG,Yaguara,
LPD,La Pedrera,
MVP,Mitu,
PCR,Puerto Carreno Airport,
PAL,Palanquero,
PZA,Casanare,
MGD,Magdalena,
OEM,Vincent Fayks,
ABN,Albina,
BVK,Huacaraje,
CCA,Chaffee AFB,
CEP,Concepcion,
SJB,San Joaquin,
DRJ,Drietabbetje,
RDC,Redencao,
PUR,Puerto Rico,
SBL,Yacuma,
SNM,San Ignacio De M,
SMH,Sapmanga,
SMP,Stockholm,
MPY,Maripasoula,
ALD,Alerta,
GSI,Guadalcanal,
GTA,Gatokae Aerodrom,
ITI,Itambacuri,
OBI,Obidos,
SRV,Stony River,
KCB,Tepoe Airstrip,
SQT,China Straits Airstrip,
SRM,Sandringham,
AAJ,Cayana Airstrip,
APU,Apucarana,
JAE,Shumba Airport,
CAJ,Canaima,
SSS,Siassi,
SUZ,Suria,
EOR,El Dorado,
ICA,Icabaru,
KAV,Kavanayen,
PPH,Peraitepuy,
PBV,Porto Dos Gauchos,
PBX,Porto Alegre Do Norte,
JRN,Juruena,
OPS,Sinop Airport,
URM,Uriman,
AIR,Aripuana,
CCX,Caceres,
CQA,Canarana Airport,
LCB,Pontes e Lacerda,
CQS,Costa Marques,
SNV,Santa Elena,
SVS,Stevens Village,
DMT,Diamantino,
FBA,Fonte Boa,
GRP,Gurupi,
HUW,Humaita,
IDO,Rio,
JIA,Juina,
SWE,Siwea,
SWG,Satwag,
SWR,Silur,
STZ,Confresa,
NAI,Annai,
LUB,Lumid Pau,
LTM,Lethem,
MYM,Monkey Mountain,
KRM,Karanambo,
AHL,Aishalton,
AZL,Fazenda Tucunare Airport,
KKG,Konawaruk,
MHA,Mahdia,
BGI,Grantley Adams International Airport,
ORJ,Orinduik,
TDS,Sasereme,
TFB,Tifalmin,
BMJ,Baramita,
KAR,Kamarang,
PRR,Paruima,
KRG,Karasabai,
KTO,Kato,
TBA,Tabibuga,
SKM,Skeldon,
SFG,Esperance Airport,
TBQ,Tarabo,
DCF,Canefield Airport,
DOM,Melville Hall Airport,
GFO,Bartica,
TDB,Tetabedi,
IMB,Imbaimadai,
SXP,Sheldon Sea Plane Base,
SYB,Seal Bay,
SYF,Silva Bay,
TCT,Takotna,
SXH,Sehulea,
NGD,Captain Auguste George,
THW,Harbour SPB,
TIG,Tingwon,
TLP,Tumolbil,
TLT,Tuluksak Airport,
ARE,Arecibo,
AUA,Reina Beatrix International Airport,
AXA,Clayton J. Lloyd International Airport,
CRU,Carriacou Island,
TKL,Taku SPB,
EIS,Terrance B. Lettsome International Airport,
TNW,Jumandy,
TOK,Torokina,
TOV,West End SPB,
TSG,Intermediate,
TSI,Tsili Tsili,
TUT,Tauta,
MQJ,Moma,
UNI,Union Island,
BDA,L.F. Wade International Airport,
BQU,J. F. Mitchell,
TZO,Tsimiroro,
CIW,Canouan Island,
CMJ,Chi Mei,
KVM,Markovo Airport,
AEM,Amgu,
BVV,Burevestnik AFB,
EDN,Enterprise Muni Airport,
UGB,Ugashik Bay,
SBT,Sabetta,
LHU,Lianshulu,
KKQ,Krasnoselkup,
AAQ,Anapa Airport,
BNH,Barnes,
USO,Usino,
GMV,Monument Valley,
UUU,Manumu,
ULV,Baratayevka,
UZM,Hope Bay,
SVV,San Salvador De,
KCT,Koggala Airport,
ADP,Ampara,
BTC,Batticaloa,
DEP,Deparizo,
HRI,Mattala Rajapaksa International Airport,
IXH,Kailashahar,
KTV,Kamarata,
SPB,SPB,
SSB,SPB,
VIV,Vivigani,
AGR,Kheria,
AIP,Ailinglapalap Island,
AOU,Attopeu,
HOE,Houeisay,
LUA,Lukla,
MFM,Macau International Airport,
KTM,Tribhuvan International Airport,
TPJ,Taplejung Suketar,
PPL,Phaplu,
RHP,Ramechhap,
BHP,Bhojpur,
BHR,Bharatpur Airport,
BJH,Bajhang,
BJU,Bajura Airport,
DNP,Dang,
DOP,Dolpa,
JIR,Jiri,
TMI,Tumling Tar Airport,
BKK,Suvarnabhumi Airport,
CBD,Car Nicobar,
GKK,Kooddoo Airport,
NYU,Nyaung U Airport,
GWA,Gwa,
HEH,Heho Airport,
HKT,Phuket International Airport,
KOP,Nakhon Phanom Airport,
KET,Keng Tung Airport,
KYP,Kyaukpyu Airport,
LSH,Lashio,
KAW,Kawthaung Airport,
AKY,Civil Airport,
BUI,Bokondini,
MDL,Mandalay International Airport,
FBS,Friday Harbor SPB,
KOX,Kokonao,
ILA,Illaga,
MGK,Mong Ton,
NBX,Nabire,
PRU,Prome,
PAU,Pauk,
RCE,Roche Harbor,
RSJ,Rosario SPB,
WAD,Andriamena,
WAB,Wabag,
MDP,Mindiptana,
LII,Mulia,
UBR,Ubrub,
MKQ,Mopah Airport,
KEI,Kepi,
KWB,Karimunjawa,
BEJ,Kalimarau Airport,
BJK,Benjina,
BYQ,Bunyu,
MAL,Mangole,
LUV,Langgur Airport,
DOB,Dobo Airport,
DTD,Datadawai,
GLX,Galela,
OKL,Oksibil,
LSU,Long Sukang,
KDI,Haluoleo Airport,
MKM,Mukah Airport,
KPI,Kapit,
LDU,Lahad Datu Airport,
KGU,Keningau,
LBU,Labuan Airport,
KSR,Federal No 1,
BBN,Bario Airport,
BKM,Bakalalan,
BSE,Sematan,
BUW,Baubau Airport,
BXB,Babo,
MUR,Marudi Airport,
LGL,Long Lellang,
MZV,Mulu Airport,
PAY,Pamol,
RNU,Ranau,
WBB,Stebbins Airport,
WBC,Wapolu,
BTH,Hang Nadim International Airport,
MWK,Matak,
LMU,Letung Airport,
GNS,Gunungsitoli Airport,
PKU,Sultan Syarif Kasim II International Airport,
WGU,Wagau,
WED,Wedau,
MPB,Miami Sea Plane Base,
QPG,Paya Lebar,
PKG,Pangkor Airport,
ABU,Haliwen Airport,
AUT,Atauro,
RDN,LTS Pulau Redang,
DTR,Decatur Island,
XSP,Seletar,
UGI,Uganik,
XBB,Blubber Bay,
AAB,Arrabury Airport,
BKP,Barkly Downs,
ABG,Abingdon,
ABH,Alpha,
ADO,Andamooka,
BKQ,Blackall Airport,
BQW,Balgo Hills,
AMT,Amata,
AMX,Ammaroo,
ASP,Alice Springs Airport,
BRK,Bourke,
AUD,Augustus Downs,
AUU,Aurukun Mission,
MRP,Marla,
YAJ,Lyall Harbour,
BXF,Belburn,
BZP,Bizant,
CTL,Charleville Airport,
GYL,Argyle,
YAQ,Maple Bay,
YBH,Bull Harbour,
YBJ,Baie Johan Beetz,
AVG,Auvergne,
AWN,Alton Downs,
AWP,Austral Downs Airport,
AXC,Aramac,
AXL,Alexandria,
AYL,Anthony Lagoon,
AYQ,Connellan Airport,
BCI,Barcaldine Airport,
BDD,Badu Island,
BEE,Beagle Bay,
BEU,Bedourie,
BFC,Bloomfield,
BIW,Billiluna,
CMA,Cunnamulla,
BIP,Bulimba,
BME,Broome Airport,
BMP,Brampton Island,
BOX,Borroloola,
PPP,Whitsunday Coast Airport,
NIF,Nifty Airport,
ODL,Cordillo Downs,
DCN,RAAF Curtin,
YBQ,Telegraph Harbour,
YCF,Cortes Bay,
LLG,Chillagoe,
BRT,Bathurst Island,
BTD,Brunette Downs,
BVW,Batavia Downs,
BVZ,Beverley Springs,
BWB,Barrow Island,
BYP,Barimunya Airport,
BZD,Balranald,
CBI,Cape Barren Island,
CBX,Condobolin,
CBY,Canobie,
CCL,Chinchilla,
CED,Ceduna Airport,
CFH,Clifton Hills,
CFI,Camfield,
CKI,Croker Island,
CML,Camooweal,
CMQ,Clermont,
CNC,Coconut Island,
CNJ,Cloncurry Airport,
CPD,Coober Pedy Airport,
CRB,Collarenebri,
NLF,Darnley Island,
KCE,Collinsville,
CCW,Cowell,
CDA,Cooinda,
CDQ,Croydon,
CFP,Carpentaria Downs,
CJF,Coondewanna Airport,
COY,Coolawanyah,
CUG,Cudal,
CUQ,Coen,
CUY,Cue,
CWR,Cowarie,
CXQ,Christmas Creek,
CYG,Corryong,
DDN,Delta Downs,
DFP,Drumduff,
DGD,Dalgaranga,
DHD,Durham Downs,
DKI,Dunk Island,
DKV,Docker River,
DLK,Dulkaninna,
DMD,Doomadgee Airport,
DNB,Dunbar,
DNG,Doongan,
DOX,Dongara,
DPO,Devonport Airport,
DRB,Derby,
DRD,Dorunda Station,
DRN,Dirranbandi,
DRR,Durrie,
KFE,Fortescue Dave Forrest,
FOS,Forrest,
FVL,Flora Valey,
FVR,Forrest River Airport,
YGE,Gorge Harbor,
GBL,Goulburn Island,
YGN,Greenway Sound,
FIK,Finke,
FIZ,Fitzroy Crossing,
FLY,Finley,
GBP,Gamboola,
GBV,Gibb River,
GBW,Ginbata Airport,
GDD,Gordon Downs,
GEE,George Town,
GGD,Gregory Downs,
GLG,Glengyle,
GLM,Glenormiston,
GLT,Gladstone Airport,
GPD,Mount Gordon Mine,
GSC,Gascoyne Junction,
GTE,Alyangula Airport,
GTT,Georgetown Airport,
GVP,Greenvale,
HAT,Heathlands,
HLL,Hillside,
HMG,Hermannsburg,
INM,Innamincka,
KUG,Kubin Island,
IRG,Lockhart River,
ISI,Isisford,
UBU,Kalumburu,
KDB,Kambalda,
KBY,Streaky Bay,
IVW,Inverway,
KCS,Kings Creek Station,
KRA,Kerang,
JAB,Jabiru,
KFG,Kalkurung,
KOH,Koolatah,
KKP,Koolburra,
JCK,Julia Creek,
KML,Kamileroi,
LZR,Lizard Island,
KPP,Kalpowar,
LWH,Lawn Hill,
LTP,Lyndhurst,
KRD,Kurundi,
LGH,Leigh Creek,
LNH,Lake Nash,
LOC,Lock,
LFP,Lakefield,
LTV,Lotusvale,
LIB,Limbunya,
BBL,Ballera Airport,
LKD,Lakeland Downs,
LUU,Laura,
YLP,Mingan,
LUT,Laura Station,
LVO,Laverton,
LER,Leinster,
MRG,Mareeba,
MBB,Marble Bar,
LNO,Leonora,
JUN,Jundah,
KBJ,Kings Canyon,
KBB,Kirkimbie,
KRB,Karumba Airport,
KWM,Kowanyama,
KGC,Kingscote Airport,
YKT,Klemtu,
LEL,Lake Evella,
LOA,Lorraine,
UBB,Mabuiag Island,
ONR,Monkira,
GSN,Mount Gunson,
OXY,Morney,
OOR,Mooraberree,
ONG,Mornington Airport,
NMR,Nappa Merry,
UTB,Muttaburra,
MFP,Manners Creek,
MKR,Meekatharra,
MLV,Merluna,
MGT,Milingimbi,
MGV,Margaret River,
MNG,Maningrida Airport,
MHO,Mount House,
MCV,Mcarthur River Airport,
MNQ,Monto,
MIH,Mitchell Plateau,
MTQ,Mitchell,
MNW,Macdonald Downs,
MMG,Mount Magnet,
MSF,Mount Swan,
MET,Moreton,
MQE,Marqua,
MTD,Mt Sandford,
MIY,Mittiebah,
MUQ,Muccan,
MNE,Mungeranie,
MVK,Mulka,
MUP,Mulga Park,
MKV,Mt Cavenagh,
MWT,Moolawatana,
MXD,Marion Downs,
RRE,Marree,
WME,Mount Keith,
YOI,Opinaca,
RPM,Ngukurr,
PXH,Prominent Hill,
NAA,Narrabri,
ABM,Northern Peninsula Airport,
MOO,Moomba,
KNX,Kununurra Airport,
UTD,Nutwood Downs,
EDR,Edward River,
GOV,Nhulunbuy Airport,
NLS,Nicholson,
NMP,New Moon,
NPP,Napperby,
NSM,Norseman,
LEA,Learmonth Airport,
NUR,Nullarbor,
NLL,Nullagine,
NTN,Normanton Airport,
NUB,Numbulwar,
ODD,Oodnadatta,
OLP,Olympic Dam Airport,
OSO,Osborne Mine,
KTR,Tindal,
ODR,Ord River,
PBO,Paraburdoo Airport,
PKT,Port Keats,
PQQ,Port Macquarie Airport,
PHE,Port Hedland International Airport,
PDN,Parndana,
PDE,Pandie Pandie,
PRD,Pardoo,
OYN,Ouyen,
PEA,Penneshaw,
YQJ,April Point SPB,
ULP,Quilpie,
TDR,Theodore,
CDU,Camden,
TQP,Trepell Airport,
NDS,Sandstone,
MJK,Shark Bay,
RMA,Roma Airport,
RCM,Richmond,
ROH,Robinhood,
SBR,Saibai Island,
RPB,Roper Bar,
RTP,Rutland Plains,
RHL,Roy Hill,
RSB,Roseberth,
SHU,Smith Point,
SGP,Shay Gap,
SCG,Spring Creek,
STH,Strathmore,
SRN,Strahan,
KSV,Springvale,
SYD,Sydney (Kingsford Smith) Airport,
SQC,Southern Cross,
STF,Stephen Island,
SSP,Silver Plains,
TBL,Tableland,
TBK,Timber Creek,
CZY,Cluny,
GTS,Granites,
MFL,Mount Full Stop,
PHQ,The Monument Airport,
TKY,Turkey Creek,
TYB,Tibooburra,
OKR,Yorke Island,
SYU,Warraber Island,
TXR,Tanbar,
TTX,Mungalalu Truscott Airbase,
WNR,Windorah,
THG,Thangool,
KYF,Yeelirrie,
VNR,Vanrook,
WON,Wondoola,
WAV,Kalkgurung,
WND,Windarra,
WUN,Wiluna,
WLO,Waterloo,
WIT,Wittenoom,
WLA,Wallal,
TEF,Telfer Airport,
TDN,Theda Station,
TYG,Thylungra,
TYP,Tobermorey,
WWI,Woodie Woodie,
PEK,Beijing Capital International Airport,
ORR,Yorketown,
BHY,Beihai Fucheng Airport,
KKI,Spb,
SJW,Shijiazhuang Daguocun Airport,
BPE,Qinhuangdao Beidaihe Airport,
KBC,Birch Creek,
TDT,Tanda Tula,
CAN,Guangzhou Baiyun International Airport,
KHO,Khoka Moya,
TSN,Tianjin Binhai International Airport,
ZDY,Delma Island Airport,
KYI,Yalata Mission,
KBW,Chignik Bay,
CIF,Chifeng Airport,
CSX,Changsha Huanghua Airport,
CZC,Copper Centre,
CZP,Cape Pole,
DYG,Zhangjiajie Hehua Airport,
HZV,Hazyview,
INY,Inyati,
JBT,City Landing,
LYA,Luoyang Beijiao Airport,
NNG,Nanning Airport,
SYX,Sanya Phoenix International Airport,
ZHY,Zhongwei Airport,
NNY,Nanyang Airport,
BAR,Baker AAF,
CGO,Zhengzhou Xinzheng Airport,
COQ,Choibalsan,
SIA,Xi'an Xiguan Airport,
DNH,Dunhuang Airport,
HAK,Haikou Airport,
SWA,Jieyang Chaoshan Airport,
WUH,Wuhan Tianhe International Airport,
WOS,Wonsan,
LHW,Lanzhou Zhongchuan International Airport,
LUM,Dehong Mangshi Airport,
TAO,Qingdao Liuting International Airport,
ULN,Chinggis Khaan International Airport,
FOC,Changle International Airport,
HFE,Hefei Xinqiao Airport,
HGH,Hangzhou Xiaoshan International Airport,
ZNU,Namu,
HJT,Khujirt,
JIU,Jiujiang,
URC,Urumqi Diwopu International Airport,
IQM,Qiemo Airport,
KGT,Kangding Airport,
NGQ,Ngari Gunsa/Ali Kunsha,
KRY,Karamay Airport,
YUS,Yushu Batang Airport,
YNJ,Yanji Chaoyangchuan Airport,
MCC,Mcclellan AFB,
MCD,Mackinac Island,
MCI,Kansas City International Airport,
MCO,Orlando International Airport,
MCA,Macenta,
JSJ,Jiansanjiang Shidi Airport,
LDS,Yichun Shi Airport,
MCB,Pike County,
MCQ,Miskolc,
MCH,Machala,
JNZ,Liaoning Province Airport,
JXA,Jixi Airport,
DLC,Dalian Zhoushuizi International Airport,
FYJ,Fuyuan Dongji Airport,
HEK,Heihe Airport,
HRB,Harbin Taiping International Airport,
JIL,Jilin,
JMU,Jiamusi Airport,
MCK,Mc Cook Airport,
MCM,Fontvieille Heliport,
MCR,Melchor De Menco,
MCU,Gueret (Lepaud),
MCW,Mason City Airport,
MFU,Mfuwe,
MFX,Meribel,
MFY,Mayfa'ah,
MGA,Augusto C Sandino International Airport,
MGB,Mount Gambier Airport,
MGC,Michigan City Airport,
MGF,Regional De Maringa,
MGH,Margate Airport,
MGI,Aransas National Wildlife Refuge,
MGJ,Orange County,
MFV,Accomack County,
MGL,Moenchen-gl. - Dus Exp,
MHN,Mullen,
MGN,Baracoa,
MGO,Manega,
MGU,Manaung,
MGW,Morgantown Airport,
MGY,Dayton-Wright Brothers Airport,
MHE,Municipal,
MHI,Musha,
MHL,Memorial Municipal,
MHP,Minsk International 1,
MHS,Rep,
MIU,Maiduguri,
MHU,Mount Hotham,
MHV,Kern County,
MIV,Millville,
MHZ,Mildenhall Airport,
MJP,Manjimup,
MIE,Delaware County,
MOH,Maleo Airport,
MIF,Roy Hurd Memorial,
MIG,Mianyang Nanjiao Airport,
MII,Dr Gastao Vidigal Airport,
MIJ,Mili Island,
MIO,Miami,
MJS,Maganja Da Costa,
MJT,Mytilene International Airport,
MJU,Tampa Padang Airport,
MJV,Murcia-San Javier Airport,
MJW,Mahenye,
MJX,Robert J. Miller,
MJY,Mangunjaya,
MJZ,Mirnyj Airport,
MKA,Marianske Lazne,
MKC,Charles B. Wheeler Downtown Airport,
MKE,General Mitchell International Airport,
MKF,Mckenna AAF,
MKG,Muskegon Airport,
MKI,Mboki,
MKJ,Makoua,
MKK,Molokai Airport,
MKU,Makokou,
MLA,Malta International Airport,
MKS,Mekane Selam,
MKT,Municipal,
MLB,Orlando Melbourne International Airport,
MLD,Malad City,
MLT,Millinocket,
MLW,Sprigg Payne,
MLX,Malatya Airport,
MMA,Malmö Bulltofta Airport,
MMC,Ciudad Mante,
MLZ,Cerro Largo,
MMB,Memanbetsu Airport,
MMN,Minute Man Airfield,
MNH,Minneriya,
MMI,McMinn County,
MMJ,Matsumoto Airport,
MMS,Selfs,
MML,Municipal-Ryan Field,
MMZ,Maimana,
MMO,Vila Do Maio,
MNK,Maiana,
MNU,Maulmyine,
MOF,Wai Oti Airport,
MNZ,Manassas Regional Airport/Harry P. Davis Field,
MOA,Orestes Acosta,
MOG,Mong Hsat,
MOD,Modesto Municipal Airport,
NDE,Mandera,
MOJ,Moengo,
MOM,Moudjeria,
MOP,Municipal,
MOR,Moore-Murrell,
MOX,Municipal,
MOY,Monterrey,
MOZ,Temae Airport,
MPC,Muko-Muko,
MPD,Mirpur Khas,
MPI,Mamitupo,
MPV,Edward F Knapp State,
MPW,Mariupol,
MPZ,Municipal,
MQA,Mandora,
MQB,Municipal,
MQC,Miquelon Airport,
MQF,Magnitogorsk Airport,
MQG,Midgard,
MQH,Municipal,
MQI,Quincy,
MQL,Mildura Airport,
MQM,Mardin Airport,
MQN,Mo i Rana Airport,
MQP,Kruger Mpumalanga International Airport,
MQD,Maquinchao,
MQR,Mosquera,
MRS,Marseille Provence Airport,
MRU,Sir Seewoosagur Ramgoolam International Airport,
MRV,Mineralnye Vody Airport,
MRW,Maribo,
MRY,Monterey Regional Airport,
MRZ,Moree Airport,
MSC,Falcon Field,
MSD,Mt Pleasant,
MTK,Makin Island,
MSE,Kent International,
MSH,Masirah,
MSI,Masalembo,
MSJ,Misawa,
MSL,Northwest Alabama Regional Airport,
MSM,Masi Manimba,
MSN,Dane County Regional Airport,
MRX,Mahshahr Airport,
MSX,Mossendjo,
MUH,Mersa Matruh,
MVE,Montevideo-Chippewa,
MTS,Matsapha International,
MTT,Minatitlan Airport,
MTU,Montepuez,
MTW,Municipal,
MTX,Metro Field,
MTY,Gen Mariano Escobedo Airport,
MTZ,Masada,
MUC,Franz Josef Strauss Airport,
MUD,Mueda,
MVR,Salam,
MVS,Aeroporto Max Feffer,
MVU,Musgrave,
MVX,Minvoul,
MVW,Skagit Regional,
MWD,Mianwali,
MXF,Maxwell AFB,
MXR,Mirgorod,
MWH,Grant County,
MWJ,Matthews Ridge,
MWN,Mwadui,
MWQ,Magwe,
MWS,Mount Wilson,
MWV,Mundulkiri,
MXS,Maota Savaii Island,
MXU,Mullewa,
MXV,Moron,
MXX,Mora Airport,
MXZ,Mei Xian Airport,
MXW,Mandalgobi,
MYB,Mayoumba,
MYC,Maracay,
MYE,Miyake Jima,
MYL,Mccall,
MYP,Mary Airport,
MYQ,Mysore,
MYT,Myitkyina Airport,
MYZ,Monkey Bay,
MZA,Mayor Pnp Nancy Flore Airport,
MZC,Mitzic,
MZW,Mechria,
MZU,Muzaffarpur,
MZX,Mena,
MZZ,Marion,
NAB,Albany NAS,
NAC,Naracoorte,
MZY,Mossel Bay,
NAX,Kalaeloa John Rodgers Field,
NAF,Banaina,
NBH,Nambucca Heads,
NAH,Naha,
NAK,Nakhon Ratchasima,
NAL,Nalchik Airport,
NAM,Namlea,
NAO,Nanchong Airport,
NDL,Ndele,
NEG,Negril,
NCO,NAS,
NCQ,Atlanta NAS,
NCR,San Carlos,
NCS,Newcastle,
NCY,Annecy-Meythe,
NDF,Ndalatandos,
NDG,Qiqihar Airport,
NDK,Namdrik Island,
NFR,Nafoora,
NGA,Young,
NGB,Ningbo Airport,
NGC,North Rim,
NGE,Ngaoundéré,
NGF,Marine Corps Air Station Kaneohe Bay,
NGI,Ngau Island,
NGL,Ngala Airfield,
NGN,Nargana,
NGO,Chubu Centrair International Airport,
NGU,NAS Chambers,
NGW,Cabaniss Field,
NGX,Manang,
NGZ,NAS,
NHD,Minhad AB,
NHF,New Halfa,
NHK,Patuxent River NAS,
NHS,Nushki,
NHX,Barin Olf Osn,
NIA,Nimba,
NKB,Noonkanbah,
NKY,Nkayi,
NKD,Sinak,
NMA,Namangan Airport,
NKL,Nkolo,
NMS,Namsang,
NKO,Ankokoambo,
NKS,Nkongsamba,
NKT,Shirnak,
NKX,Miramar MS,
NLA,Simon Mwansa Kapwepwe International Airport,
NLC,Lemoore NAS (Reeves Field),
NLU,Santa Lucia,
NMB,Daman,
NKC,Nouakchott International Airport,
NMG,San Miguel,
NOD,Norden Norddeich Airport,
NNM,Naryan-Mar Airport,
NNX,Nunukan Airport,
NPO,Nangapinoh,
NOA,Nowra,
NQU,Nuqui,
NOI,Novorossijsk,
NOJ,Nojabrxsk Airport,
NOZ,Novokuznetsk Airport,
NPA,Pensacola NAS,
NPE,Hawkes Bay Airport,
NPT,State,
NPU,San Pedro Uraba,
NQA,Millington Regional Jetport,
NQI,NAS,
NQL,Niquelandia,
NQN,Presidente Peron International Airport,
NRC,Aux Field,
NRD,Norderney,
NRG,Narrogin,
NRI,Shangri-la,
NRE,Namrole,
NRM,Nara,
NRR,Roosevelt NAS,
NRS,NAS,
NSK,Noril'sk Airport,
NSB,North SPB,
NSP,NAF,
NZA,Nzagi,
NUD,En Nahud,
NUE,Nuremberg Airport,
NUF,Castlereigh Reservoir Waterdrome,
NUJ,Nojeh,
NUM,Neom Airport,
NUN,Saufley NAS,
NUQ,Moffett Field,
NUU,Nakuru,
NUW,Whidbey Island NAS (Ault Field),
NUX,Novy Urengoy Airport,
NVA,Benito Salas Airport,
NVD,Nevada,
NVG,Nueva Guinea,
NVI,Navoi Airport,
NVK,Framnes,
NUH,Nunchia,
NVR,Novgorod,
NVY,Neyveli,
NZC,Maria Reiche Neuman Airport,
NZE,Nzerekore,
NZH,Manzhouli Airport,
NZL,Zhalantun Chengjisihan Airport,
NZW,South Weymouth,
NZY,North Island NAS,
OAA,Shank Air Base,
OAG,Orange Airport,
OAH,Shindand Air Base,
OAJ,Albert J Ellis Airport,
OAK,Metropolitan Oakland International Airport,
OAL,Cacoal Airport,
OAM,Oamaru,
OAN,Olanchito,
OAR,Marina Municipal,
OAS,Sharana Air Base,
OAI,Bagram,
OBE,County,
OBC,Obock,
ODB,Cordoba,
ODC,Oakdale,
ODH,Odiham RAF Station,
ODE,Beldringe,
ODM,Garrett County Airport,
ODN,Long Seridan Airport,
ODO,Bodaybo Airport,
ODS,Odessa International Airport,
ODW,Oak Harbor,
ODY,Oudomxay Airport,
OEA,Oneal,
OEC,Ocussi,
OEL,Orel,
OEO,Municipal,
OER,Ornskoldsvik Airport,
OES,San Antonio Oeste,
OGA,Searle Field,
OFK,Stefan Field,
OFU,Airstrip,
OKQ,Okaba,
OHT,Kohat,
OIC,Eaton,
OIL,Splane Memorial,
OIR,Okushiri Airport,
OKB,Fraser Island,
OKF,Okaukuejo,
OKG,Okoyo,
OKH,Cottesmor RAF,
OKM,Okmulgee,
OKN,Okondja,
OKO,Yokota AFB,
OKS,Oshkosh,
OLU,Columbus Municipal,
OLV,Olive Branch Airport,
OLY,Olney-Noble,
OMJ,Omura,
OMI,Omidieh,
OMK,Municipal,
OML,Omkalai,
OMY,Oddor Meanche,
ONA,Municipal,
ONH,Municipal,
ONI,Moanamani,
ONL,Municipal,
ONM,Socorro,
ONP,Newport,
OLX,Olkiombo Airport,
ONX,Enrique Adolfo Jimenez,
ONY,Olney,
OOA,Municipal,
OLZ,Olokminsk Airport,
OPI,Oenpelli,
OPO,Porto Airport,
OPW,Opuwa,
ORA,Oran,
ORB,Orebro-Bofors Airport,
ORC,Orocue,
ORD,O'Hare International Airport,
ORE,Orleans,
ORF,Norfolk International Airport,
ORG,Zorg En Hoop,
ORH,Worcester Regional Airport,
ORK,Cork Airport,
OPL,St Landry Parish,
ORM,Northampton,
ORO,Yoro,
ORP,Orapa,
ORQ,Heliport,
ORW,Ormara,
ORY,Paris Orly Airport,
ORX,Oriximina,
ORZ,Orange Walk,
OSC,Wurtsmith AFB,
OSW,Orsk Airport,
OSY,Namsos Airport,
OSZ,Koszalin,
OTA,Mota,
OTC,Bol,
OTD,Contadora,
OTG,Worthington,
OTH,Southwest Oregon Regional Airport,
OTI,Pitu,
OTJ,Otjiwarongo,
OTK,Tillamook,
OTL,Boutilimit,
OTM,Industrial,
OTO,Vor,
OTP,Bucharest Henri Coanda International Airport,
OTR,Coto 47,
OTS,Anacortes,
OWE,Owendo,
OZI,Bobadilla,
OWK,Central Maine Airport of Norridgewock,
OXB,Osvaldo Vieira Airport,
OXC,Waterbury-oxford,
OXD,Miami University,
OXF,Oxford (Kidlington),
OXR,Ventura,
OYA,Goya,
OYG,Moyo,
OYL,Moyale,
OYO,Tres Arroyos,
OYP,St-Georges de lOyapock,
PBG,Plattsburgh International Airport,
PAZ,El Tajin National Airport,
PBB,Paranaiba,
PBC,Huejotsingo Airport,
PBH,Paro Airport,
PBE,Puerto Berrio,
PBN,Porto Amboim,
PBR,Puerto Barrios,
PBP,Punta Islita,
PBQ,Pimenta Bueno,
PBS,Patong Beach,
PBT,Puerto Leda,
PBW,Palibelo,
PCG,Paso Caballos,
PCH,Palacios,
PAX,Port De Paix,
PCU,Pearl River County,
PCV,Punta Chivato,
PDD,Ponta de Ouro,
PDF,Prado,
PDA,Puerto Inirida,
PDK,DeKalb Peachtree Airport,
PEM,Puerto Maldonado Airport,
PDM,Pedasí Airport,
PDP,Capitan de Corbeta Carlos A. Curbelo International Airport,
PDS,Piedras Negras International Airport,
PDV,Plovdiv Airport,
PEE,Perm International Airport,
PEF,Peenemuende,
PEG,Sant Egidio Airport,
PEJ,Peschiei,
PDC,Mueo,
PFC,Pacific City State,
PFN,Bay County,
PGO,Stevens Field,
PGR,Paragould Kirk Field,
PHD,Harry Clever Field,
PGA,Page Airport,
PGC,Grant County,
PGD,Charlotte County Airport,
PGF,Llabanere Airport,
PGG,Progresso,
PHK,Palm Beach Co Glades,
PGL,Jackson County,
PIK,Glasgow Prestwick Airport,
PIT,Pittsburgh International Airport,
PHU,Phu Vinh,
PJG,Panjgur,
PHZ,Phi Phi Island,
PIF,Pingtung,
PIG,Pitinga,
PIL,Pilar,
PIM,Garden Harris County,
PIO,Capitan FAP Renan Elias Olivera Airport,
PIS,Poitiers-Biard Airport,
PIU,Cap. FAP Guillermo Concha Iberico International Airport,
PIV,Pirapora,
