"Port","Service","Protocol","Description"
"6109","globecast-id","udp","GLOBECAST-ID"
"6110","softcm","tcp","HP SoftBench CM"
"6110","softcm","udp","HP SoftBench CM"
"6111","spc","tcp","HP SoftBench Sub-Process Control"
"6111","spc","udp","HP SoftBench Sub-Process Control"
"6112","dtspcd","tcp","Desk-Top Sub-Process Control Daemon"
"6112","dtspcd","udp","Desk-Top Sub-Process Control Daemon"
"6113","dayliteserver","tcp","Daylite Server"
"6113","","udp","Reserved"
"6114","wrspice","tcp","WRspice IPC Service"
"6114","","udp","Reserved"
"6115","xic","tcp","Xic IPC Service"
"6115","","udp","Reserved"
"6116","xtlserv","tcp","XicTools License Manager Service"
"6116","","udp","Reserved"
"6117","daylitetouch","tcp","Daylite Touch Sync"
"6117","","udp","Reserved"
"6118","tipc","udp","Transparent Inter Process Communication"
"6118","","tcp","Reserved"
"6119-6120","","","Unassigned"
"6121","spdy","tcp","SPDY for a faster web"
"6121","","udp","Reserved"
"6122","bex-webadmin","tcp","Backup Express Web Server"
"6122","bex-webadmin","udp","Backup Express Web Server"
"6123","backup-express","tcp","Backup Express"
"6123","backup-express","udp","Backup Express"
"6124","pnbs","tcp","Phlexible Network Backup Service"
"6124","pnbs","udp","Phlexible Network Backup Service"
"6125-6129","","","Unassigned"
"6130","damewaremobgtwy","tcp","The DameWare Mobile Gateway Service"
"6130","","udp","Reserved"
"6131-6132","","","Unassigned"
"6133","nbt-wol","tcp","New Boundary Tech WOL"
"6133","nbt-wol","udp","New Boundary Tech WOL"
"6134-6139","","","Unassigned"
"6140","pulsonixnls","tcp","Pulsonix Network License Service"
"6140","pulsonixnls","udp","Pulsonix Network License Service"
"6141","meta-corp","tcp","Meta Corporation License Manager"
"6141","meta-corp","udp","Meta Corporation License Manager"
"6142","aspentec-lm","tcp","Aspen Technology License Manager"
"6142","aspentec-lm","udp","Aspen Technology License Manager"
"6143","watershed-lm","tcp","Watershed License Manager"
"6143","watershed-lm","udp","Watershed License Manager"
"6144","statsci1-lm","tcp","StatSci License Manager - 1"
"6144","statsci1-lm","udp","StatSci License Manager - 1"
"6145","statsci2-lm","tcp","StatSci License Manager - 2"
"6145","statsci2-lm","udp","StatSci License Manager - 2"
"6146","lonewolf-lm","tcp","Lone Wolf Systems License Manager"
"6146","lonewolf-lm","udp","Lone Wolf Systems License Manager"
"6147","montage-lm","tcp","Montage License Manager"
"6147","montage-lm","udp","Montage License Manager"
"6148","ricardo-lm","tcp","Ricardo North America License Manager"
"6148","ricardo-lm","udp","Ricardo North America License Manager"
"6149","tal-pod","tcp","tal-pod"
"6149","tal-pod","udp","tal-pod"
"6150-6158","","","Unassigned"
"6159","efb-aci","tcp","EFB Application Control Interface"
"6159","","udp","Reserved"
"6160","ecmp","tcp","Emerson Extensible Control and Management Protocol"
"6160","ecmp-data","udp","Emerson Extensible Control and Management Protocol Data"
"6161","patrol-ism","tcp","PATROL Internet Srv Mgr"
"6161","patrol-ism","udp","PATROL Internet Srv Mgr"
"6162","patrol-coll","tcp","PATROL Collector"
"6162","patrol-coll","udp","PATROL Collector"
"6163","pscribe","tcp","Precision Scribe Cnx Port"
"6163","pscribe","udp","Precision Scribe Cnx Port"
"6164-6199","","","Unassigned"
"6200","lm-x","tcp","LM-X License Manager by X-Formation"
"6200","lm-x","udp","LM-X License Manager by X-Formation"
"6201","","tcp","Reserved"
"6201","thermo-calc","udp","Management of service nodes in a processing grid for thermodynamic calculations"
"6202-6208","","","Unassigned"
"6209","qmtps","tcp","QMTP over TLS"
"6209","qmtps","udp","QMTP over TLS"
"6210-6221","","","Unassigned"
"6222","radmind","tcp","Radmind Access Protocol"
"6222","radmind","udp","Radmind Access Protocol"
"6223-6240","","","Unassigned"
"6241","jeol-nsdtp-1","tcp","JEOL Network Services Data Transport Protocol 1"
"6241","jeol-nsddp-1","udp","JEOL Network Services Dynamic Discovery Protocol 1"
"6242","jeol-nsdtp-2","tcp","JEOL Network Services Data Transport Protocol 2"
"6242","jeol-nsddp-2","udp","JEOL Network Services Dynamic Discovery Protocol 2"
"6243","jeol-nsdtp-3","tcp","JEOL Network Services Data Transport Protocol 3"
"6243","jeol-nsddp-3","udp","JEOL Network Services Dynamic Discovery Protocol 3"
"6244","jeol-nsdtp-4","tcp","JEOL Network Services Data Transport Protocol 4"
"6244","jeol-nsddp-4","udp","JEOL Network Services Dynamic Discovery Protocol 4"
"6245-6250","","","Unassigned"
"6251","tl1-raw-ssl","tcp","TL1 Raw Over SSL/TLS"
"6251","tl1-raw-ssl","udp","TL1 Raw Over SSL/TLS"
"6252","tl1-ssh","tcp","TL1 over SSH"
"6252","tl1-ssh","udp","TL1 over SSH"
"6253","crip","tcp","CRIP"
"6253","crip","udp","CRIP"
"6254-6266","","","Unassigned"
"6267","gld","tcp","GridLAB-D User Interface"
"6267","","udp","Reserved"
"6268","grid","tcp","Grid Authentication"
"6268","grid","udp","Grid Authentication"
"6269","grid-alt","tcp","Grid Authentication Alt"
"6269","grid-alt","udp","Grid Authentication Alt"
"6270-6299","","","Unassigned"
"6300","bmc-grx","tcp","BMC GRX"
"6300","bmc-grx","udp","BMC GRX"
"6301","bmc-ctd-ldap","tcp","BMC CONTROL-D LDAP SERVER
IANA assigned this well-formed service name as a replacement for ""bmc_ctd_ldap""."
"6301","bmc_ctd_ldap","tcp","BMC CONTROL-D LDAP SERVER"
"6301","bmc-ctd-ldap","udp","BMC CONTROL-D LDAP SERVER
IANA assigned this well-formed service name as a replacement for ""bmc_ctd_ldap""."
"6301","bmc_ctd_ldap","udp","BMC CONTROL-D LDAP SERVER"
"6302-6305","","","Unassigned"
"6306","ufmp","tcp","Unified Fabric Management Protocol"
"6306","ufmp","udp","Unified Fabric Management Protocol"
"6307-6314","","","Unassigned"
"6315","scup","tcp","Sensor Control Unit Protocol"
"6315","scup-disc","udp","Sensor Control Unit Protocol Discovery Protocol"
"6316","abb-escp","tcp","Ethernet Sensor Communications Protocol"
"6316","abb-escp","udp","Ethernet Sensor Communications Protocol"
"6317","nav-data-cmd","tcp","Navtech Radar Sensor Data Command"
"6317","nav-data","udp","Navtech Radar Sensor Data"
"6318-6319","","","Unassigned"
"6320","repsvc","tcp","Double-Take Replication Service"
"6320","repsvc","udp","Double-Take Replication Service"
"6321","emp-server1","tcp","Empress Software Connectivity Server 1"
"6321","emp-server1","udp","Empress Software Connectivity Server 1"
"6322","emp-server2","tcp","Empress Software Connectivity Server 2"
"6322","emp-server2","udp","Empress Software Connectivity Server 2"
"6323","","","Unassigned"
"6324","hrd-ncs","tcp","HR Device Network Configuration Service"
"6324","hrd-ns-disc","udp","HR Device Network service"
"6325","dt-mgmtsvc","tcp","Double-Take Management Service"
"6325","","udp","Reserved"
"6326","dt-vra","tcp","Double-Take Virtual Recovery Assistant"
"6326","","udp","Reserved"
"6327-6342","","","Unassigned"
"6343","sflow","tcp","sFlow traffic monitoring"
"6343","sflow","udp","sFlow traffic monitoring"
"6344","streletz","tcp","Argus-Spectr security and fire-prevention systems service"
"6344","","udp","Reserved"
"6345-6345","","","Unassigned"
"6346","gnutella-svc","tcp","gnutella-svc"
"6346","gnutella-svc","udp","gnutella-svc"
"6347","gnutella-rtr","tcp","gnutella-rtr"
"6347","gnutella-rtr","udp","gnutella-rtr"
"6348-6349","","","Unassigned"
"6350","adap","tcp","App Discovery and Access Protocol"
"6350","adap","udp","App Discovery and Access Protocol"
"6351-6354","","","Unassigned"
"6355","pmcs","tcp","PMCS applications"
"6355","pmcs","udp","PMCS applications"
"6356-6359","","","Unassigned"
"6360","metaedit-mu","tcp","MetaEdit+ Multi-User"
"6360","metaedit-mu","udp","MetaEdit+ Multi-User"
"6361-6362","","","Unassigned"
"6363","ndn","udp","Named Data Networking"
"6363","","tcp","Reserved"
"6364-6369","","","Unassigned"
"6370","metaedit-se","tcp","MetaEdit+ Server Administration"
"6370","metaedit-se","udp","MetaEdit+ Server Administration"
"6371-6378","","","Unassigned"
"6379","redis","tcp","An advanced key-value cache and store"
"6379","","udp","Reserved"
"6380-6381","","","Unassigned"
"6382","metatude-mds","tcp","Metatude Dialogue Server"
"6382","metatude-mds","udp","Metatude Dialogue Server"
"6383-6388","","","Unassigned"
"6389","clariion-evr01","tcp","clariion-evr01"
"6389","clariion-evr01","udp","clariion-evr01"
"6390","metaedit-ws","tcp","MetaEdit+ WebService API"
"6390","metaedit-ws","udp","MetaEdit+ WebService API"
"6391-6399","","","Unassigned"
"6400","boe-cms","","Business Objects CMS contact port"
"6401","boe-was","","boe-was"
"6402","boe-eventsrv","","boe-eventsrv"
"6403","boe-cachesvr","","boe-cachesvr"
"6404","boe-filesvr","","Business Objects Enterprise internal server"
"6405","boe-pagesvr","","Business Objects Enterprise internal server"
"6406","boe-processsvr","","Business Objects Enterprise internal server"
"6407","boe-resssvr1","","Business Objects Enterprise internal server"
"6408","boe-resssvr2","","Business Objects Enterprise internal server"
"6409","boe-resssvr3","","Business Objects Enterprise internal server"
"6410","boe-resssvr4","","Business Objects Enterprise internal server"
"6411-6416","","","Unassigned"
"6417","faxcomservice","tcp","Faxcom Message Service"
"6417","faxcomservice","udp","Faxcom Message Service"
"6418","syserverremote","tcp","SYserver remote commands"
"6418","","udp","Reserved"
"6419","svdrp","tcp","Simple VDR Protocol"
"6419","svdrp-disc","udp","Simple VDR Protocol Discovery"
"6420","nim-vdrshell","tcp","NIM_VDRShell"
"6420","nim-vdrshell","udp","NIM_VDRShell"
"6421","nim-wan","tcp","NIM_WAN"
"6421","nim-wan","udp","NIM_WAN"
"6422-6431","","","Unassigned"
"6432","pgbouncer","tcp","PgBouncer"
"6432","","udp","Reserved"
"6433-6441","","","Unassigned"
"6442","tarp","tcp","Transitory Application Request Protocol"
"6442","","udp","Reserved"
"6443","sun-sr-https","tcp","Service Registry Default HTTPS Domain"
"6443","sun-sr-https","udp","Service Registry Default HTTPS Domain"
"6444","sge-qmaster","tcp","Grid Engine Qmaster Service
IANA assigned this well-formed service name as a replacement for ""sge_qmaster""."
"6444","sge_qmaster","tcp","Grid Engine Qmaster Service"
"6444","sge-qmaster","udp","Grid Engine Qmaster Service
IANA assigned this well-formed service name as a replacement for ""sge_qmaster""."
"6444","sge_qmaster","udp","Grid Engine Qmaster Service"
"6445","sge-execd","tcp","Grid Engine Execution Service
IANA assigned this well-formed service name as a replacement for ""sge_execd""."
"6445","sge_execd","tcp","Grid Engine Execution Service"
"6445","sge-execd","udp","Grid Engine Execution Service
IANA assigned this well-formed service name as a replacement for ""sge_execd""."
"6445","sge_execd","udp","Grid Engine Execution Service"
"6446","mysql-proxy","tcp","MySQL Proxy"
"6446","mysql-proxy","udp","MySQL Proxy"
"6447-6454","","","Unassigned"
"6455","skip-cert-recv","tcp","SKIP Certificate Receive"
"6455","skip-cert-recv","udp","SKIP Certificate Receive"
"6456","skip-cert-send","tcp","SKIP Certificate Send"
"6456","skip-cert-send","udp","SKIP Certificate Send"
"6457-6463","","","Unassigned"
"6464","ieee11073-20701","tcp","Port assignment for medical device communication in 
    accordance to IEEE 11073-20701"
"6464","ieee11073-20701","udp","Port assignment for medical device communication in 
    accordance to IEEE 11073-20701"
"6465-6470","","","Unassigned"
"6471","lvision-lm","tcp","LVision License Manager"
"6471","lvision-lm","udp","LVision License Manager"
"6472-6479","","","Unassigned"
"6480","sun-sr-http","tcp","Service Registry Default HTTP Domain"
"6480","sun-sr-http","udp","Service Registry Default HTTP Domain"
"6481","servicetags","tcp","Service Tags"
"6481","servicetags","udp","Service Tags"
"6482","ldoms-mgmt","tcp","Logical Domains Management Interface"
"6482","ldoms-mgmt","udp","Logical Domains Management Interface"
"6483","SunVTS-RMI","tcp","SunVTS RMI"
"6483","SunVTS-RMI","udp","SunVTS RMI"
"6484","sun-sr-jms","tcp","Service Registry Default JMS Domain"
"6484","sun-sr-jms","udp","Service Registry Default JMS Domain"
"6485","sun-sr-iiop","tcp","Service Registry Default IIOP Domain"
"6485","sun-sr-iiop","udp","Service Registry Default IIOP Domain"
"6486","sun-sr-iiops","tcp","Service Registry Default IIOPS Domain"
"6486","sun-sr-iiops","udp","Service Registry Default IIOPS Domain"
"6487","sun-sr-iiop-aut","tcp","Service Registry Default IIOPAuth Domain"
"6487","sun-sr-iiop-aut","udp","Service Registry Default IIOPAuth Domain"
"6488","sun-sr-jmx","tcp","Service Registry Default JMX Domain"
"6488","sun-sr-jmx","udp","Service Registry Default JMX Domain"
"6489","sun-sr-admin","tcp","Service Registry Default Admin Domain"
"6489","sun-sr-admin","udp","Service Registry Default Admin Domain"
"6490-6499","","","Unassigned"
"6500","boks","tcp","BoKS Master"
"6500","boks","udp","BoKS Master"
"6501","boks-servc","tcp","BoKS Servc
IANA assigned this well-formed service name as a replacement for ""boks_servc""."
"6501","boks_servc","tcp","BoKS Servc"
"6501","boks-servc","udp","BoKS Servc
IANA assigned this well-formed service name as a replacement for ""boks_servc""."
"6501","boks_servc","udp","BoKS Servc"
"6502","boks-servm","tcp","BoKS Servm
IANA assigned this well-formed service name as a replacement for ""boks_servm""."
"6502","boks_servm","tcp","BoKS Servm"
"6502","boks-servm","udp","BoKS Servm
IANA assigned this well-formed service name as a replacement for ""boks_servm""."
"6502","boks_servm","udp","BoKS Servm"
"6503","boks-clntd","tcp","BoKS Clntd
IANA assigned this well-formed service name as a replacement for ""boks_clntd""."
"6503","boks_clntd","tcp","BoKS Clntd"
"6503","boks-clntd","udp","BoKS Clntd
IANA assigned this well-formed service name as a replacement for ""boks_clntd""."
"6503","boks_clntd","udp","BoKS Clntd"
"6504","","","Unassigned"
"6505","badm-priv","tcp","BoKS Admin Private Port
IANA assigned this well-formed service name as a replacement for ""badm_priv""."
"6505","badm_priv","tcp","BoKS Admin Private Port"
"6505","badm-priv","udp","BoKS Admin Private Port
IANA assigned this well-formed service name as a replacement for ""badm_priv""."
"6505","badm_priv","udp","BoKS Admin Private Port"
"6506","badm-pub","tcp","BoKS Admin Public Port
IANA assigned this well-formed service name as a replacement for ""badm_pub""."
"6506","badm_pub","tcp","BoKS Admin Public Port"
"6506","badm-pub","udp","BoKS Admin Public Port
IANA assigned this well-formed service name as a replacement for ""badm_pub""."
"6506","badm_pub","udp","BoKS Admin Public Port"
"6507","bdir-priv","tcp","BoKS Dir Server, Private Port
IANA assigned this well-formed service name as a replacement for ""bdir_priv""."
"6507","bdir_priv","tcp","BoKS Dir Server, Private Port"
"6507","bdir-priv","udp","BoKS Dir Server, Private Port
IANA assigned this well-formed service name as a replacement for ""bdir_priv""."
"6507","bdir_priv","udp","BoKS Dir Server, Private Port"
"6508","bdir-pub","tcp","BoKS Dir Server, Public Port
IANA assigned this well-formed service name as a replacement for ""bdir_pub""."
"6508","bdir_pub","tcp","BoKS Dir Server, Public Port"
"6508","bdir-pub","udp","BoKS Dir Server, Public Port
IANA assigned this well-formed service name as a replacement for ""bdir_pub""."
"6508","bdir_pub","udp","BoKS Dir Server, Public Port"
"6509","mgcs-mfp-port","tcp","MGCS-MFP Port"
"6509","mgcs-mfp-port","udp","MGCS-MFP Port"
"6510","mcer-port","tcp","MCER Port"
"6510","mcer-port","udp","MCER Port"
"6511","","tcp","Reserved"
"6511","dccp-udp","udp","Datagram Congestion Control Protocol Encapsulation for NAT Traversal"
"6512-6512","","","Unassigned"
"6513","netconf-tls","tcp","NETCONF over TLS"
"6513","","udp","Reserved"
"6514","syslog-tls","tcp","Syslog over TLS"
"6514","syslog-tls","udp","syslog over DTLS"
"6514","syslog-tls","dccp","syslog over DTLS"
"6515","elipse-rec","tcp","Elipse RPC Protocol"
"6515","elipse-rec","udp","Elipse RPC Protocol"
"6516-6542","","","Unassigned"
"6543","lds-distrib","tcp","lds_distrib"
"6543","lds-distrib","udp","lds_distrib"
"6544","lds-dump","tcp","LDS Dump Service"
"6544","lds-dump","udp","LDS Dump Service"
"6545-6546","","","Unassigned"
"6547","apc-6547","tcp","APC 6547"
"6547","apc-6547","udp","APC 6547"
"6548","apc-6548","tcp","APC 6548"
"6548","apc-6548","udp","APC 6548"
"6549","apc-6549","tcp","APC 6549"
"6549","apc-6549","udp","APC 6549"
"6550","fg-sysupdate","tcp","fg-sysupdate"
"6550","fg-sysupdate","udp","fg-sysupdate"
"6551","sum","tcp","Software Update Manager"
"6551","sum","udp","Software Update Manager"
"6552-6557","","","Unassigned"
"6558","xdsxdm","tcp",""
"6558","xdsxdm","udp",""
"6559-6565","","","Unassigned"
"6566","sane-port","tcp","SANE Control Port"
"6566","sane-port","udp","SANE Control Port"
"6567","","","Reserved"
"6568","canit-store","tcp","CanIt Storage Manager
IANA assigned this well-formed service name as a replacement for ""canit_store""."
"6568","canit_store","tcp","CanIt Storage Manager"
"6568","rp-reputation","udp","Roaring Penguin IP Address Reputation Collection"
"6569-6578","","","Unassigned"
"6579","affiliate","tcp","Affiliate"
"6579","affiliate","udp","Affiliate"
"6580","parsec-master","tcp","Parsec Masterserver"
"6580","parsec-master","udp","Parsec Masterserver"
"6581","parsec-peer","tcp","Parsec Peer-to-Peer"
"6581","parsec-peer","udp","Parsec Peer-to-Peer"
"6582","parsec-game","tcp","Parsec Gameserver"
"6582","parsec-game","udp","Parsec Gameserver"
"6583","joaJewelSuite","tcp","JOA Jewel Suite"
"6583","joaJewelSuite","udp","JOA Jewel Suite"
"6584-6587","","","Unassigned"
"6588","","","Unassigned"
"6589-6599","","","Unassigned"
"6600","mshvlm","tcp","Microsoft Hyper-V Live Migration"
"6600","","udp","Reserved"
"6601","mstmg-sstp","tcp","Microsoft Threat Management Gateway SSTP"
"6601","","udp","Reserved"
"6602","wsscomfrmwk","tcp","Windows WSS Communication Framework"
"6602","","udp","Reserved"
"6603-6618","","","Unassigned"
"6619","odette-ftps","tcp","ODETTE-FTP over TLS/SSL"
"6619","odette-ftps","udp","ODETTE-FTP over TLS/SSL"
"6620","kftp-data","tcp","Kerberos V5 FTP Data"
"6620","kftp-data","udp","Kerberos V5 FTP Data"
"6621","kftp","tcp","Kerberos V5 FTP Control"
"6621","kftp","udp","Kerberos V5 FTP Control"
"6622","mcftp","tcp","Multicast FTP"
"6622","mcftp","udp","Multicast FTP"
"6623","ktelnet","tcp","Kerberos V5 Telnet"
"6623","ktelnet","udp","Kerberos V5 Telnet"
"6624","datascaler-db","tcp","DataScaler database"
"6624","","udp","Reserved"
"6625","datascaler-ctl","tcp","DataScaler control"
"6625","","udp","Reserved"
"6626","wago-service","tcp","WAGO Service and Update"
"6626","wago-service","udp","WAGO Service and Update"
"6627","nexgen","tcp","Allied Electronics NeXGen"
"6627","nexgen","udp","Allied Electronics NeXGen"
"6628","afesc-mc","tcp","AFE Stock Channel M/C"
"6628","afesc-mc","udp","AFE Stock Channel M/C"
"6629","nexgen-aux","tcp","Secondary, (non ANDI) multi-protocol multi-function interface to
    the Allied ANDI-based family of forecourt controllers"
"6629","nexgen-aux","udp","Secondary, (non ANDI) multi-protocol multi-function interface to
      the Allied ANDI-based family of forecourt controllers"
"6630","","","Unassigned"
"6631","","","Unassigned"
"6632","mxodbc-connect","tcp","eGenix mxODBC Connect"
"6632","","udp","Reserved"
"6633","","tcp","Reserved"
"6633","cisco-vpath-tun","udp","Cisco vPath Services Overlay"
"6634","mpls-pm","udp","MPLS Performance Measurement out-of-band response"
"6634","","tcp","Reserved"
"6635","","tcp","Reserved"
"6635","mpls-udp","udp","Encapsulate MPLS packets in UDP tunnels."
"6636","","tcp","Reserved"
"6636","mpls-udp-dtls","udp","Encapsulate MPLS packets in UDP tunnels with DTLS."
"6637-6639","","","Unassigned"
"6640","ovsdb","tcp","Open vSwitch Database protocol"
"6640","","udp","Reserved"
"6641-6652","","","Unassigned"
"6653","openflow","tcp","OpenFlow"
"6653","openflow","udp","OpenFlow"
"6654","","","Unassigned"
"6655","pcs-sf-ui-man","tcp","PC SOFT - Software factory UI/manager"
"6655","","udp","Reserved"
"6656","emgmsg","tcp","Emergency Message Control Service"
"6656","","udp","Reserved"
"6657","","tcp","Reserved"
"6657","palcom-disc","udp","PalCom Discovery"
"6658-6664","","","Unassigned"
"6665-6669","ircu","tcp","IRCU"
"6665-6669","","udp","Reserved"
"6670","vocaltec-gold","tcp","Vocaltec Global Online Directory"
"6670","vocaltec-gold","udp","Vocaltec Global Online Directory"
"6671","p4p-portal","tcp","P4P Portal Service"
"6671","p4p-portal","udp","P4P Portal Service"
"6672","vision-server","tcp","vision_server
IANA assigned this well-formed service name as a replacement for ""vision_server""."
"6672","vision_server","tcp","vision_server"
"6672","vision-server","udp","vision_server
IANA assigned this well-formed service name as a replacement for ""vision_server""."
"6672","vision_server","udp","vision_server"
"6673","vision-elmd","tcp","vision_elmd
IANA assigned this well-formed service name as a replacement for ""vision_elmd""."
"6673","vision_elmd","tcp","vision_elmd"
"6673","vision-elmd","udp","vision_elmd
IANA assigned this well-formed service name as a replacement for ""vision_elmd""."
"6673","vision_elmd","udp","vision_elmd"
"6674-6677","","","Unassigned"
"6678","vfbp","tcp","Viscount Freedom Bridge Protocol"
"6678","vfbp-disc","udp","Viscount Freedom Bridge Discovery"
"6679","osaut","tcp","Osorno Automation"
"6679","osaut","udp","Osorno Automation"
"6680-6686","","","Unassigned"
"6687","clever-ctrace","tcp","CleverView for cTrace Message Service"
"6687","","udp","Reserved"
"6688","clever-tcpip","tcp","CleverView for TCP/IP Message Service"
"6688","","udp","Reserved"
"6689","tsa","tcp","Tofino Security Appliance"
"6689","tsa","udp","Tofino Security Appliance"
"6690","cleverdetect","tcp","CLEVERDetect Message Service"
"6690","","udp","Reserved"
"6691-6695","","","Unassigned"
"6696","","tcp","Reserved"
"6696","babel","udp","Babel Routing Protocol"
"6697","ircs-u","tcp","Internet Relay Chat via TLS/SSL"
"6697","","udp","Reserved"
"6698-6699","","","Unassigned"
"6700","","","Unassigned"
"6701","kti-icad-srvr","tcp","KTI/ICAD Nameserver"
"6701","kti-icad-srvr","udp","KTI/ICAD Nameserver"
"6701","","sctp","Unassigned"
"6702","e-design-net","tcp","e-Design network"
"6702","e-design-net","udp","e-Design network"
"6702","","sctp","Unassigned"
"6703","e-design-web","tcp","e-Design web"
"6703","e-design-web","udp","e-Design web"
"6704","","udp","Reserved"
"6704","","tcp","Reserved"
"6704","frc-hp","sctp","ForCES HP (High Priority) channel"
"6705","","udp","Reserved"
"6705","","tcp","Reserved"
"6705","frc-mp","sctp","ForCES MP (Medium Priority) channel"
"6706","","udp","Reserved"
"6706","","tcp","Reserved"
"6706","frc-lp","sctp","ForCES LP (Low priority) channel"
"6707-6713","","","Unassigned"
"6714","ibprotocol","tcp","Internet Backplane Protocol"
"6714","ibprotocol","udp","Internet Backplane Protocol"
"6715","fibotrader-com","tcp","Fibotrader Communications"
"6715","fibotrader-com","udp","Fibotrader Communications"
"6716","princity-agent","tcp","Princity Agent"
"6716","","udp","Reserved"
"6717-6766","","","Unassigned"
"6767","bmc-perf-agent","tcp","BMC PERFORM AGENT"
"6767","bmc-perf-agent","udp","BMC PERFORM AGENT"
"6768","bmc-perf-mgrd","tcp","BMC PERFORM MGRD"
"6768","bmc-perf-mgrd","udp","BMC PERFORM MGRD"
"6769","adi-gxp-srvprt","tcp","ADInstruments GxP Server"
"6769","adi-gxp-srvprt","udp","ADInstruments GxP Server"
"6770","plysrv-http","tcp","PolyServe http"
"6770","plysrv-http","udp","PolyServe http"
"6771","plysrv-https","tcp","PolyServe https"
"6771","plysrv-https","udp","PolyServe https"
"6772-6776","","","Unassigned"
"6777","ntz-tracker","tcp","netTsunami Tracker"
"6777","","udp","Reserved"
"6778","ntz-p2p-storage","tcp","netTsunami p2p storage system"
"6778","","udp","Reserved"
"6779-6783","","","Unassigned"
"6784","","tcp","Reserved"
"6784","bfd-lag","udp","Bidirectional Forwarding Detection (BFD) on Link Aggregation Group (LAG) Interfaces"
"6785","dgpf-exchg","tcp","DGPF Individual Exchange"
"6785","dgpf-exchg","udp","DGPF Individual Exchange"
"6786","smc-jmx","tcp","Sun Java Web Console JMX"
"6786","smc-jmx","udp","Sun Java Web Console JMX"
"6787","smc-admin","tcp","Sun Web Console Admin"
"6787","smc-admin","udp","Sun Web Console Admin"
"6788","smc-http","tcp","SMC-HTTP"
"6788","smc-http","udp","SMC-HTTP"
"6789","radg","tcp","GSS-API for the Oracle Remote Administration Daemon"
"6789","","udp","Reserved"
"6790","hnmp","tcp","HNMP"
"6790","hnmp","udp","HNMP"
"6791","hnm","tcp","Halcyon Network Manager"
"6791","hnm","udp","Halcyon Network Manager"
"6792-6800","","","Unassigned"
"6801","acnet","tcp","ACNET Control System Protocol"
"6801","acnet","udp","ACNET Control System Protocol"
"6802-6816","","","Unassigned"
"6817","pentbox-sim","tcp","PenTBox Secure IM Protocol"
"6817","","udp","Reserved"
"6818-6830","","","Unassigned"
"6831","ambit-lm","tcp","ambit-lm"
"6831","ambit-lm","udp","ambit-lm"
"6832-6840","","","Unassigned"
"6841","netmo-default","tcp","Netmo Default"
"6841","netmo-default","udp","Netmo Default"
"6842","netmo-http","tcp","Netmo HTTP"
"6842","netmo-http","udp","Netmo HTTP"
"6843-6849","","","Unassigned"
"6850","iccrushmore","tcp","ICCRUSHMORE"
"6850","iccrushmore","udp","ICCRUSHMORE"
"6851-6867","","","Unassigned"
"6868","acctopus-cc","tcp","Acctopus Command Channel"
"6868","acctopus-st","udp","Acctopus Status"
"6869-6887","","","Unassigned"
"6888","muse","tcp","MUSE"
"6888","muse","udp","MUSE"
"6889","","","Unassigned"
"6900","rtimeviewer","tcp","R*TIME Viewer Data Interface"
"6900","","udp","Reserved"
"6901","jetstream","tcp","Novell Jetstream messaging protocol"
"6901","","udp","Reserved"
"6902-6934","","","Unassigned"
"6935","ethoscan","tcp","EthoScan Service"
"6935","ethoscan","udp","EthoScan Service"
"6936","xsmsvc","tcp","XenSource Management Service"
"6936","xsmsvc","udp","XenSource Management Service"
"6937-6945","","","Unassigned"
"6946","bioserver","tcp","Biometrics Server"
"6946","bioserver","udp","Biometrics Server"
"6947-6950","","","Unassigned"
"6951","otlp","tcp","OTLP"
"6951","otlp","udp","OTLP"
"6952-6960","","","Unassigned"
"6961","jmact3","tcp","JMACT3"
"6961","jmact3","udp","JMACT3"
"6962","jmevt2","tcp","jmevt2"
"6962","jmevt2","udp","jmevt2"
"6963","swismgr1","tcp","swismgr1"
"6963","swismgr1","udp","swismgr1"
"6964","swismgr2","tcp","swismgr2"
"6964","swismgr2","udp","swismgr2"
"6965","swistrap","tcp","swistrap"
"6965","swistrap","udp","swistrap"
"6966","swispol","tcp","swispol"
"6966","swispol","udp","swispol"
"6967-6968","","","Unassigned"
"6969","acmsoda","tcp","acmsoda"
"6969","acmsoda","udp","acmsoda"
"6970","conductor","tcp","Conductor test coordination protocol"
"6970","","udp","Reserved"
"6970","conductor-mpx","sctp","conductor for multiplex"
"6971-6996","","","Unassigned"
"6997","MobilitySrv","tcp","Mobility XE Protocol"
"6997","MobilitySrv","udp","Mobility XE Protocol"
"6998","iatp-highpri","tcp","IATP-highPri"
"6998","iatp-highpri","udp","IATP-highPri"
"6999","iatp-normalpri","tcp","IATP-normalPri"
"6999","iatp-normalpri","udp","IATP-normalPri"
"7000","afs3-fileserver","tcp","file server itself"
"7000","afs3-fileserver","udp","file server itself"
"7001","afs3-callback","tcp","callbacks to cache managers"
"7001","afs3-callback","udp","callbacks to cache managers"
"7002","afs3-prserver","tcp","users & groups database"
"7002","afs3-prserver","udp","users & groups database"
"7003","afs3-vlserver","tcp","volume location database"
"7003","afs3-vlserver","udp","volume location database"
"7004","afs3-kaserver","tcp","AFS/Kerberos authentication service"
"7004","afs3-kaserver","udp","AFS/Kerberos authentication service"
"7005","afs3-volser","tcp","volume managment server"
"7005","afs3-volser","udp","volume managment server"
"7006","afs3-errors","tcp","error interpretation service"
"7006","afs3-errors","udp","error interpretation service"
